candidate_id,rank,score,reasoning
CAND_0052682,1,0.9835,"strong AI/ML title (NLP Engineer); 6.6yr exp; skills: Semantic Search, FAISS, LLMs, Python; response rate 88%; open to work; 30d notice; at Aganitha, Vizag, Andhra Pradesh, India."
CAND_0079387,2,0.9831,"strong AI/ML title (AI Engineer); 6.9yr exp; skills: Python, Sentence Transformers, OpenSearch, BM25; response rate 81%; open to work; 30d notice; at Microsoft, Trivandrum, Kerala, India."
CAND_0071974,3,0.9825,"strong AI/ML title (Senior AI Engineer); 7.8yr exp; skills: Learning to Rank, Weaviate, BM25, Pinecone; response rate 76%; open to work; 45d notice; at Netflix, Vizag, Andhra Pradesh, India."
CAND_0074735,4,0.9807,"strong AI/ML title (Applied ML Engineer); 5.5yr exp; skills: RAG, Weaviate, Information Retrieval, Semantic Search; response rate 77%; open to work; 90d notice; at Rephrase.ai, Chandigarh, Chandigarh, India."
CAND_0086022,5,0.9801,"strong AI/ML title (Senior Applied Scientist); 5.3yr exp; skills: pgvector, Fine-tuning LLMs, Elasticsearch, Pinecone; response rate 55%; open to work; 0d notice; at Sarvam AI, Kolkata, West Bengal, India."
CAND_0046064,6,0.9796,"strong AI/ML title (Senior NLP Engineer); 8.9yr exp; skills: Python, Pinecone, BM25, OpenSearch; response rate 78%; open to work; 30d notice; at Salesforce, Coimbatore, Tamil Nadu, India."
CAND_0050876,7,0.9796,"strong AI/ML title (Applied ML Engineer); 6.0yr exp; skills: Qdrant, FAISS, OpenSearch, Sentence Transformers; response rate 67%; open to work; 90d notice; at Freshworks, Kolkata, West Bengal, India."
CAND_0011687,8,0.9789,"strong AI/ML title (Senior NLP Engineer); 7.8yr exp; skills: OpenSearch, FAISS, Embeddings, Weaviate; response rate 89%; open to work; 15d notice; at Niramai, Indore, Madhya Pradesh, India."
CAND_0046525,9,0.9765,"strong AI/ML title (Senior Machine Learning Engineer); 6.1yr exp; skills: Elasticsearch, Information Retrieval, LLMs, NLP; response rate 88%; open to work; 60d notice; at Genpact AI, Pune, Maharashtra, India."
CAND_0037566,10,0.9753,"strong AI/ML title (Machine Learning Engineer); 6.9yr exp; skills: Pinecone, NLP, BM25, LLMs; response rate 50%; open to work; 15d notice; at LinkedIn, Bangalore, Karnataka, India."
CAND_0006418,11,0.9752,"strong AI/ML title (Machine Learning Engineer); 5.7yr exp; skills: Semantic Search, Embeddings, Weaviate, Elasticsearch; response rate 92%; open to work; 60d notice; at Verloop.io, Gurgaon, Haryana, India."
CAND_0062247,12,0.973,"strong AI/ML title (AI Engineer); 7.3yr exp; skills: Pinecone, Qdrant, RAG, Hugging Face Transformers; response rate 78%; open to work; 30d notice; at Google, Kochi, Kerala, India."
